BonePb,dieldrin,dde,tde,pcb105,pcb118,pcb128,pcb138,pcb153,pcb156,pcb170,pcb180,pcb187,hcbenz,Age,Sex,Year,weight,length,xcoord,ycoord,region,country
7.106,122.2,136.68,15.58,6.28,16.5,13.25,62,72.675,8.43,29.5,58.075,108.275,25.93,Adult,Female,1996,10.4,1215,524000,409100,Anglian Region,England
4.607,23.85,38.58,1.38,5.43,20.75,8.38,51.65,80.95,7.88,24.025,40.525,59.45,9.13,Adult,Female,1996,5.9,1040,215615,65268,South West Region,England
5.126,9.425,4.7,0.5,0.5,2.525,0.5,5.675,9.55,0.5,1.85,5.375,4.425,0.5,Adult,Female,1996,1.34,530,217300,242600,EA Wales,Wales
4.173,74.9,94.1,6.03,10.53,34.725,26.07,148.85,218.85,21.15,137.35,275.775,680.9,13.65,Adult,Female,1996,7.18,1135,353500,208700,EA Wales,England
5.166,54.75,48.23,6.28,6.35,23.575,15.9,100.55,162.125,15,59.225,130.875,42.35,6.48,Adult,Male,1996,7.98,1160,338380,200940,EA Wales,Wales
5.101,29.875,48.02,1.65,3.93,13.775,3.65,23.325,37.225,4.45,14.925,24.575,25.95,10.03,Adult,Female,1997,5.94,1040,609986,271429,Anglian Region,England
4.763,16.5,,0.5,3.2,10.25,3.3,23.925,34.475,4.93,15.8,25.575,14.75,1.83,Subadult,Male,1997,3.8,925,198350,203280,EA Wales,Wales
4.348,16.85,8,3.45,2.18,6.425,3.1,23.15,41.075,4.48,17.5,31.675,14.775,4.53,Subadult,Male,1997,6.1,1030,224260,250020,EA Wales,Wales
4.273,1009.325,139.7,0.5,11.98,53.625,21.88,152.95,215.45,26.35,90.35,183.65,59.075,8.03,Adult,Male,1997,5.56,1135,197600,195700,EA Wales,Wales
2.961,256,294,85.6,,11.2,,21.7,28.6,,,22.3,,14.1,Juvenile,Female,1996,4.9,965,223200,243500,EA Wales,Wales
3.871,113.9,355,13.6,,58.6,,113,124,25.1,,74.4,,26.7,Adult,Male,1996,11.7,1120,592500,281900,Anglian Region,England
4.658,351,263,23,,5.6,,19.4,16.2,,,10.3,,8.5,Adult,Male,1997,4.9,900,337000,250000,EA Wales,England
3.739,381,344,81.3,,8.3,,22.7,21.6,2.9,,13.4,,13.9,Juvenile,Female,1996,4.3,890,336200,230200,EA Wales,England
5.482,54.9,60.4,7.6,4.5,15.6,8.3,47,61.7,8.6,25.8,41,35.4,10.8,Adult,Female,1997,4.5,935,353900,559100,North West Region,England
5.55,274.7,999.5,26,61.3,307,102.2,706.4,1302.9,113.8,333.8,947.8,443.8,52.7,Subadult,Female,1997,3.6,1060,624900,307600,Anglian Region,England
4.637,57.7,62.4,5.8,10,56,23.2,171.7,244,29.6,88.4,151.1,91.8,21.4,Adult,Female,1997,4.6,925,366500,558600,North East Region,England
4.577,84.1,127.4,13.8,9.6,36.8,16.8,108,168.8,14.7,31.8,77.4,20.5,11.6,Subadult,Male,1997,9.5,1175,441300,476200,North East Region,England
5.067,142.2,870.9,46.8,23.4,91.4,42,248,405.2,42,113.4,263.8,106,15.1,Adult,Male,1997,5.1,980,360700,254400,EA Wales,England
4.241,66.8,119.2,22.6,4.8,17.2,7.2,26.2,41.3,4.6,11.8,23.2,38.1,45.2,Adult,Male,1997,7.2,1140,473200,483000,North East Region,England
3.689,52.5,21.6,6.6,10,22.9,9.4,38.8,49.4,8.9,16.9,34.3,36.6,7.3,Adult,Male,1997,3.76,885,244500,200300,EA Wales,Wales
7.667,44.3,60.3,9.6,5.4,11.2,5.2,17.8,27.1,4.3,9,17.1,21.6,5.9,Adult,Male,1997,7.44,1100,310700,273600,EA Wales,Wales
4.284,156.6,698.6,114.8,11.8,30.8,12.2,44.7,70,11.7,24.1,47.7,60.5,19.5,Adult,Male,1997,9.8,1140,541400,300500,Anglian Region,England
5.413,27.3,58.6,11,,7.8,3,15.2,22.3,3.4,7.5,13,12.7,4.2,Subadult,Male,1997,7.66,,359900,493500,North West Region,England
3.996,28.5,58.4,16.4,5.7,11.5,5.8,12.8,16.4,5.8,7.6,15,12.8,3,Subadult,Female,1998,6.34,1070,356200,541100,North West Region,England
5.393,28.3,43.7,7.4,5.9,14.2,6,27.7,44.1,5.8,12.6,22.2,14,7.8,Juvenile,Female,1998,5.78,1065,353300,530700,North West Region,England
5.224,179.6,191.9,29.7,9.4,21.5,9.5,51,101.7,4.7,17.8,49.2,56.8,15,Adult,Male,1998,5.5,990,273800,336200,EA Wales,Wales
4.005,34.1,34.9,10.2,3,5.2,3.2,8.9,17,1.8,5.2,13.6,16.6,1.8,Adult,Male,1998,5.42,1030,259250,343600,EA Wales,Wales
4.53,97.9,191,30.5,9.9,25,11.2,46.7,84,9.1,18.6,40.6,32.9,5.5,Adult,Male,1998,1.28,585,259200,344100,EA Wales,Wales
5.573,74.4,36.9,10.1,7,15,7.5,23.8,35.4,6.8,14.4,24.9,19.6,10.9,Subadult,Female,1998,5.48,980,261700,338800,EA Wales,Wales
4.764,166.8,142.9,34.2,6.4,14.6,6.6,27.2,43.6,4.4,14.6,35.6,87.2,15.8,Subadult,Female,1998,7.34,1060,460900,454700,North East Region,England
4.097,46.1,114.8,20,8.1,15,8.4,24.6,33.2,8.5,14.2,25.8,22,9.4,Adult,Female,1998,5.4,945,616400,272600,Anglian Region,England
5.057,87.6,176.1,31.8,8,20.1,10.3,59,78.7,17.6,58.3,90.6,53.6,8.1,Subadult,Female,1998,5.7,1045,433600,463300,North East Region,England
4.347,453,181.4,33.1,43.1,156.3,60.6,410.4,505.4,120.4,332.8,576,474.8,201.5,Adult,Male,1997,10.7,1230,460700,409300,North East Region,England
4.701,179.3,139.8,28.9,8.2,28.3,12.8,76.8,111.6,11.7,31.2,61.2,112,30.3,Adult,Female,1997,7.5,1145,453400,508000,North East Region,England
6.15,277.4,118.8,24.2,6.4,20.8,9.3,51.5,57.8,13.1,40.3,60.3,47.9,22.9,Adult,Female,1998,6.2,1010,470400,447700,North East Region,England
3.835,122.6,47.6,14,28.4,83,26.8,110.3,119,16.8,24.2,45,61.4,5.3,Adult,Male,1998,6.98,1040,322400,124400,South West Region,England
4.925,315.4,137.9,19.2,3.5,10.4,4.6,25,36.6,4.3,13,26.2,27.6,8.8,Adult,Male,1998,7.02,1075,368400,139800,South West Region,England
4.333,58.2,43.5,10,3.9,11.3,3.6,18.5,26.8,4,10.8,20.7,11,6.4,Subadult,Male,1998,4.56,985,357800,120400,South West Region,England
4.603,498.7,439.9,56.4,58.7,200.1,44.1,150,160.8,41.7,44.2,72.2,104.9,74.1,Adult,Male,1998,2.24,790,322000,124400,South West Region,England
5.832,74,73.2,12,2.9,10.8,3.9,23.2,31.4,4.4,11.2,19.5,15.5,6.4,Subadult,Female,1998,3.92,845,393300,133900,South West Region,England
5.052,25.6,37,1.4,2.5,9.6,3.9,18.8,25.5,4.6,9.8,18.2,15,3.9,Adult,Male,1998,5.32,970,305000,134400,South West Region,England
8.322,56.7,38.4,5.8,5.7,14.4,5.5,31.8,46.1,7.1,17.6,33.4,19.8,7.1,Adult,Female,1998,6.96,1040,334000,115000,South West Region,England
5.544,130.8,100.3,,10.9,30.5,24.4,106.7,104.4,19.4,33,53.8,51,20.2,Juvenile,Female,1998,11.46,1250,383200,132800,South West Region,England
5.554,78.8,31.6,19.6,1.9,5,2.3,12.2,16.8,2.3,6.3,14.8,18.3,3.4,Adult,Male,1999,5.74,1010,339300,131500,South West Region,England
